Feature,PValue
Steel_Plate_Thickness,1.14698300954434e-26
Minimum_of_Luminosity,6.9800277251001e-23
X_Minimum,1.92301454636521e-14
Y_Maximum,1.64805217416567e-13
Y_Minimum,1.65437956125617e-13
Log_Y_Index,8.95891773445629e-12
LogOfAreas,2.28040133824682e-10
Pixels_Areas,2.2804017233693e-10
Sum_of_Luminosity,1.28174322386299e-09
X_Maximum,2.03504080581556e-08
Y_Perimeter,1.0577342977524e-07
SigmoidOfAreas,1.19180219843166e-06
Edges_Index,1.75865372361452e-06
Length_of_Conveyer,5.19742145707594e-06
X_Perimeter,5.0254318322724e-05
Square_Index,0.000117727421700525
Edges_X_Index,0.00123441203329115
Outside_X_Index,0.0019672995003527
Luminosity_Index,0.00406502127456014
Log_X_Index,0.0090438282787274
Orientation_Index,0.0181011833169505
Empty_Index,0.0266519250642757
Outside_Global_Index,0.0919678383202558
Maximum_of_Luminosity,0.471332491722815
Edges_Y_Index,0.477510555295636
TypeOfSteel_A300,0.74019340970703
TypeOfSteel_A400,0.74019340970703
